block|time|amount|balance|balanceUSD|profit
856011|2024-08-09 12:55:28|+0.11836984 BTC (7,204.68 USD)|18,359.52387491 BTC|$1,117,468,074 @ $60,865.85|$612,442,547
856009|2024-08-09 12:39:12|+0.03853437 BTC (2,345.43 USD)|18,359.40550507 BTC|$1,117,460,870 @ $60,865.85|$612,442,547
856006|2024-08-09 11:19:15|+0.01851869 BTC (1,130.89 USD)|18,359.3669707 BTC|$1,121,163,027 @ $61,067.63|$616,147,050
856004|2024-08-09 10:51:21|+0.04416191 BTC (2,687.03 USD)|18,359.34845201 BTC|$1,117,074,265 @ $60,844.98|$612,059,419
856001|2024-08-09 10:03:44|+0.19586341 BTC (11,917.31 USD)|18,359.3042901 BTC|$1,117,071,578 @ $60,844.98|$612,059,419
855998|2024-08-09 09:37:59|+0.31084171 BTC (18,962.1 USD)|18,359.10842669 BTC|$1,119,950,032 @ $61,002.42|$614,949,790
855996|2024-08-09 09:08:23|+0.1000492 BTC (6,103.24 USD)|18,358.79758498 BTC|$1,119,931,070 @ $61,002.42|$614,949,790
855994|2024-08-09 08:56:26|+0.04072676 BTC (2,480.29 USD)|18,358.69753578 BTC|$1,118,059,866 @ $60,900.83|$613,084,689
855993|2024-08-09 08:45:22|+0.03605763 BTC (2,195.94 USD)|18,358.65680902 BTC|$1,118,057,386 @ $60,900.83|$613,084,689
855992|2024-08-09 08:33:38|+0.45388486 BTC (27,641.96 USD)|18,358.62075139 BTC|$1,118,055,190 @ $60,900.83|$613,084,689
855990|2024-08-09 08:12:34|+0.0914602 BTC (5,567.73 USD)|18,358.16686653 BTC|$1,117,571,546 @ $60,875.99|$612,628,688
855989|2024-08-09 08:02:17|+0.02886729 BTC (1,757.32 USD)|18,358.07540633 BTC|$1,117,565,978 @ $60,875.99|$612,628,688
855987|2024-08-09 07:37:57|+0.6727293 BTC (40,953.06 USD)|18,358.04653904 BTC|$1,117,564,221 @ $60,875.99|$612,628,688
855984|2024-08-09 06:58:31|+0.8481026 BTC (51,920.93 USD)|18,357.37380974 BTC|$1,123,840,254 @ $61,220.1|$618,945,674
855983|2024-08-09 06:42:50|+0.01043355 BTC (638.74 USD)|18,356.52570714 BTC|$1,123,788,333 @ $61,220.1|$618,945,674
855981|2024-08-09 06:37:40|+0.12546971 BTC (7,681.27 USD)|18,356.51527359 BTC|$1,123,787,694 @ $61,220.1|$618,945,674
855977|2024-08-09 05:47:29|+0.15477041 BTC (9,499.13 USD)|18,356.38980388 BTC|$1,126,635,046 @ $61,375.63|$621,800,707
855974|2024-08-09 05:06:40|+0.34041702 BTC (20,877.56 USD)|18,356.23503347 BTC|$1,125,775,998 @ $61,329.35|$620,951,158
855973|2024-08-09 05:00:07|+0.33742167 BTC (20,693.85 USD)|18,355.89461645 BTC|$1,125,755,121 @ $61,329.35|$620,951,158
855971|2024-08-09 04:49:30|+0.51764241 BTC (31,746.67 USD)|18,355.55719478 BTC|$1,125,734,427 @ $61,329.35|$620,951,158
855970|2024-08-09 04:38:13|+0.12704706 BTC (7,791.71 USD)|18,355.03955237 BTC|$1,125,702,680 @ $61,329.35|$620,951,158
855966|2024-08-09 04:15:48|+0.0434943 BTC (2,667.48 USD)|18,354.91250531 BTC|$1,125,694,888 @ $61,329.35|$620,951,158
855965|2024-08-09 03:40:10|+3.66611193 BTC (224,570.49 USD)|18,354.86901101 BTC|$1,124,341,527 @ $61,255.76|$619,600,464
855956|2024-08-09 01:54:52|+1.17114696 BTC (72,694.77 USD)|18,351.20289908 BTC|$1,139,085,438 @ $62,071.43|$634,568,945
855950|2024-08-09 01:09:06|+8.2113559 BTC (509,690.62 USD)|18,350.03175212 BTC|$1,139,012,743 @ $62,071.43|$634,568,945
855947|2024-08-09 00:24:10|+0.52672514 BTC (31,991.29 USD)|18,341.82039622 BTC|$1,114,012,703 @ $60,736.21|$610,078,596
855938|2024-08-08 21:30:20|+1.18289544 BTC (70,451.16 USD)|18,341.29367108 BTC|$1,092,375,014 @ $59,558.23|$588,472,898
855936|2024-08-08 21:08:16|+0.15547082 BTC (9,259.57 USD)|18,340.11077564 BTC|$1,092,304,563 @ $59,558.23|$588,472,898
855934|2024-08-08 20:39:13|+0.26753854 BTC (15,924.93 USD)|18,339.95530482 BTC|$1,091,664,881 @ $59,523.86|$587,842,476
855932|2024-08-08 20:21:19|+5.10110508 BTC (303,637.45 USD)|18,339.68776628 BTC|$1,091,648,956 @ $59,523.86|$587,842,476
855931|2024-08-08 20:18:09|+0.06443286 BTC (3,835.29 USD)|18,334.5866612 BTC|$1,091,345,318 @ $59,523.86|$587,842,476
855927|2024-08-08 19:39:49|+0.24749252 BTC (14,743.01 USD)|18,334.52222834 BTC|$1,092,178,818 @ $59,569.53|$588,679,811
855926|2024-08-08 19:28:20|+1.12620741 BTC (67,087.64 USD)|18,334.27473582 BTC|$1,092,164,075 @ $59,569.53|$588,679,811
855922|2024-08-08 19:18:08|+0.16274791 BTC (9,694.82 USD)|18,333.14852841 BTC|$1,092,096,987 @ $59,569.53|$588,679,811
855919|2024-08-08 19:09:17|+0.22172357 BTC (13,207.97 USD)|18,332.9857805 BTC|$1,092,087,292 @ $59,569.53|$588,679,811
855914|2024-08-08 18:40:22|+0.04765605 BTC (2,832.46 USD)|18,332.76405693 BTC|$1,089,618,183 @ $59,435.56|$586,223,909
855913|2024-08-08 18:22:58|+0.23712865 BTC (14,093.88 USD)|18,332.71640088 BTC|$1,089,615,351 @ $59,435.56|$586,223,909
855909|2024-08-08 17:21:50|+0.6753582 BTC (39,746.69 USD)|18,332.47927223 BTC|$1,078,916,960 @ $58,852.76|$575,539,613
855907|2024-08-08 17:17:11|+0.10326484 BTC (6,077.42 USD)|18,331.80391403 BTC|$1,078,877,214 @ $58,852.76|$575,539,613
855905|2024-08-08 16:31:47|+0.1615516 BTC (9,306.26 USD)|18,331.70064919 BTC|$1,056,006,384 @ $57,605.48|$552,674,861
855901|2024-08-08 15:48:38|+0.17949528 BTC (10,388.26 USD)|18,331.53909759 BTC|$1,060,934,431 @ $57,874.81|$557,612,214
855893|2024-08-08 14:55:42|+0.14425108 BTC (8,268.68 USD)|18,331.35960231 BTC|$1,050,780,038 @ $57,321.45|$547,468,209
855892|2024-08-08 14:27:24|+0.01179427 BTC (676.06 USD)|18,331.21535123 BTC|$1,050,771,769 @ $57,321.45|$547,468,209
855890|2024-08-08 14:09:58|+0.30612263 BTC (17,587.78 USD)|18,331.20355696 BTC|$1,053,189,580 @ $57,453.38|$549,886,696
855887|2024-08-08 12:43:05|+0.25648979 BTC (14,704.47 USD)|18,330.89743433 BTC|$1,050,903,802 @ $57,329.64|$547,618,506
855879|2024-08-08 11:29:50|+0.0340317 BTC (1,946.19 USD)|18,330.64094454 BTC|$1,048,286,433 @ $57,187.66|$545,015,841
855877|2024-08-08 11:01:08|+6.6017131 BTC (377,745.11 USD)|18,330.60691284 BTC|$1,048,863,690 @ $57,219.26|$545,595,044
855857|2024-08-08 07:47:36|+0.28642312 BTC (16,286.7 USD)|18,324.00519974 BTC|$1,041,946,841 @ $56,862.4|$539,055,941
855856|2024-08-08 07:06:49|+0.04102478 BTC (2,341.36 USD)|18,323.71877662 BTC|$1,045,767,151 @ $57,071.77|$542,892,537
855853|2024-08-08 06:58:30|+0.08996579 BTC (5,134.51 USD)|18,323.67775184 BTC|$1,045,764,810 @ $57,071.77|$542,892,537
855850|2024-08-08 06:46:14|+0.50535334 BTC (28,841.41 USD)|18,323.58778605 BTC|$1,045,759,675 @ $57,071.77|$542,892,537
855849|2024-08-08 06:17:12|+0.05214681 BTC (2,976.11 USD)|18,323.08243271 BTC|$1,045,730,834 @ $57,071.77|$542,892,537
855848|2024-08-08 06:08:37|+0.5500331 BTC (31,391.37 USD)|18,323.0302859 BTC|$1,045,727,858 @ $57,071.77|$542,892,537
