block|time|amount|balance|balanceUSD|profit
852475|2024-07-16 19:33:49|+130 BTC (8,366,356.24 USD)|23,375.00657366 BTC|$1,504,335,632 @ $64,356.59|$968,370,550
848603|2024-06-19 11:00:46|+150 BTC (9,778,613.55 USD)|23,245.00657366 BTC|$1,515,359,575 @ $65,190.76|$987,760,849
843727|2024-05-16 19:45:33|+255 BTC (16,604,708.01 USD)|23,095.00657366 BTC|$1,503,866,042 @ $65,116.5|$986,045,930
843079|2024-05-12 03:07:46|+0.00000546 BTC (0.33 USD)|22,840.00657366 BTC|$1,393,470,434 @ $61,010.07|$892,255,030
842683|2024-05-09 13:30:33|+0.00035 BTC (21.35 USD)|22,840.0065682 BTC|$1,393,486,210 @ $61,010.76|$892,270,806
841047|2024-04-27 07:56:21|+0.00000546 BTC (0.34 USD)|22,840.0062182 BTC|$1,439,498,851 @ $63,025.33|$938,283,469
840884|2024-04-26 01:44:00|+0.00000546 BTC (0.35 USD)|22,840.00621274 BTC|$1,475,725,576 @ $64,611.43|$974,510,194
840657|2024-04-24 15:42:21|+0.00000546 BTC (0.36 USD)|22,840.00620728 BTC|$1,511,754,848 @ $66,188.9|$1,010,539,467
839940|2024-04-19 18:39:04|+170 BTC (10,889,193.53 USD)|22,840.00620182 BTC|$1,462,995,575 @ $64,054.08|$961,780,193
836194|2024-03-25 05:30:05|+0.00000546 BTC (0.37 USD)|22,670.00620182 BTC|$1,522,555,421 @ $67,161.67|$1,032,229,233
834708|2024-03-14 22:11:03|+0.00000546 BTC (0.39 USD)|22,670.00619636 BTC|$1,604,990,529 @ $70,797.97|$1,114,664,342
832757|2024-03-02 02:19:39|+0.00006001 BTC (3.73 USD)|22,670.0061909 BTC|$1,409,367,252 @ $62,168.81|$919,041,065
832698|2024-03-01 17:23:12|+0.00006456 BTC (3.97 USD)|22,670.00613089 BTC|$1,394,213,765 @ $61,500.37|$903,887,582
832425|2024-02-28 19:04:13|+156 BTC (9,674,661.65 USD)|22,670.00606633 BTC|$1,405,927,168 @ $62,017.06|$915,600,989
831532|2024-02-22 13:53:54|+0.00000546 BTC (0.28 USD)|22,514.00606633 BTC|$1,162,242,225 @ $51,623.08|$681,590,708
827583|2024-01-27 07:04:40|+0.00000546 BTC (0.23 USD)|22,514.00606087 BTC|$940,749,757 @ $41,785.09|$460,098,240
826322|2024-01-19 00:14:43|+0.00000546 BTC (0.23 USD)|22,514.00605541 BTC|$929,879,325 @ $41,302.26|$449,227,808
825381|2024-01-12 02:45:00|+0.00000546 BTC (0.25 USD)|22,514.00604995 BTC|$1,039,897,264 @ $46,188.9|$559,245,748
825312|2024-01-11 16:19:06|+0.00000546 BTC (0.26 USD)|22,514.00604449 BTC|$1,078,510,103 @ $47,903.96|$597,858,587
821189|2023-12-14 20:05:50|+140 BTC (6,009,564.46 USD)|22,514.00603903 BTC|$966,424,075 @ $42,925.46|$485,772,559
820156|2023-12-07 18:55:42|+200 BTC (8,723,693.3 USD)|22,374.00603903 BTC|$975,919,833 @ $43,618.47|$501,277,881
820006|2023-12-06 14:48:16|+176 BTC (7,756,460.13 USD)|22,174.00603903 BTC|$977,226,101 @ $44,070.8|$511,307,843
820000|2023-12-06 13:07:36|+133 BTC (5,834,140.38 USD)|21,998.00603903 BTC|$964,958,311 @ $43,865.72|$506,796,513
819769|2023-12-04 19:47:54|+190 BTC (7,909,451.48 USD)|21,865.00603903 BTC|$910,211,602 @ $41,628.69|$457,883,944
819021|2023-11-29 19:45:43|+130 BTC (4,911,398.99 USD)|21,675.00603903 BTC|$818,881,560 @ $37,779.99|$374,463,354
804947|2023-08-26 19:37:02|+0.00058 BTC (15.1 USD)|21,545.00603903 BTC|$560,834,351 @ $26,030.83|$121,327,543
804379|2023-08-22 19:07:25|+209 BTC (5,421,358.82 USD)|21,545.00545903 BTC|$558,867,012 @ $25,939.52|$119,360,219
803636|2023-08-17 18:34:28|+706 BTC (19,712,702.83 USD)|21,336.00545903 BTC|$595,737,019 @ $27,921.68|$161,651,585
798670|2023-07-14 18:14:52|+680 BTC (21,244,038.2 USD)|20,630.00545903 BTC|$644,506,800 @ $31,241.23|$230,134,069
762727|2022-11-11 20:04:23|+1,000 BTC (16,801,130.27 USD)|19,950.00545903 BTC|$335,182,641 @ $16,801.13|$-57,946,052
762725|2022-11-11 19:42:41|+1,000 BTC (16,801,130.27 USD)|18,950.00545903 BTC|$318,381,510 @ $16,801.13|$-57,946,052
762724|2022-11-11 19:35:03|+1,250 BTC (21,001,412.84 USD)|17,950.00545903 BTC|$301,580,380 @ $16,801.13|$-57,946,052
758478|2022-10-13 17:29:48|+3,115 BTC (58,216,833.23 USD)|16,700.00545903 BTC|$312,109,609 @ $18,689.19|$-26,415,410
758462|2022-10-13 14:37:59|+1,585 BTC (29,455,106.47 USD)|13,585.00545903 BTC|$252,459,169 @ $18,583.66|$-27,849,017
752087|2022-09-01 05:31:42|+0.00496173 BTC (99.82 USD)|12,000.00545903 BTC|$241,414,895 @ $20,117.9|$-9,438,184
752069|2022-09-01 02:12:08|+0.0004973 BTC (9.97 USD)|12,000.0004973 BTC|$240,644,029 @ $20,053.67|$-10,208,950
744165|2022-07-08 19:14:01|+2,999 BTC (65,134,591.1 USD)|12,000 BTC|$260,625,239 @ $21,718.77|$9,772,270
744020|2022-07-07 20:10:02|+4,500 BTC (94,429,596.67 USD)|9,001 BTC|$188,880,178 @ $20,984.35|$3,161,799
743854|2022-07-06 19:33:45|+4,500 BTC (91,269,158.88 USD)|4,501 BTC|$91,289,441 @ $20,282.04|$659
743736|2022-07-05 19:53:30|+1 BTC (19,617.41 USD)|1 BTC|$19,617 @ $19,617.41|$-6
741249|2022-06-18 09:39:06|-0.00469617 BTC (91.65 USD)|0 BTC|$0 @ $19,515.97|$-6
741127|2022-06-17 08:26:05|+0.00460056 BTC (95.33 USD)|0.00469617 BTC|$97 @ $20,722.17|$0
741078|2022-06-16 22:42:33|+0.00009561 BTC (1.99 USD)|0.00009561 BTC|$2 @ $20,865.44|$0
