block|time|amount|balance|balanceUSD|profit
862095|2024-09-20 11:52:41|-590.00032 BTC (37,394,245.47 USD)|73,888.62660308 BTC|$4,683,064,309 @ $63,380.04|$1,756,941,611
861839|2024-09-18 14:33:49|-600.00032 BTC (35,945,500.77 USD)|74,478.62692308 BTC|$4,461,950,189 @ $59,909.14|$1,498,433,245
861374|2024-09-15 09:02:26|+0.00005 BTC (3.01 USD)|75,078.62724308 BTC|$4,517,982,873 @ $60,176.68|$1,518,520,429
860902|2024-09-11 20:12:15|+84.67824066 BTC (4,868,106.91 USD)|75,078.62719308 BTC|$4,316,230,248 @ $57,489.47|$1,316,767,806
860755|2024-09-10 16:42:12|+86.84108975 BTC (4,934,418.81 USD)|74,993.94895242 BTC|$4,261,249,526 @ $56,821.24|$1,266,655,192
860591|2024-09-09 13:40:11|+102.43856375 BTC (5,666,184.88 USD)|74,907.10786267 BTC|$4,143,337,302 @ $55,313.01|$1,153,677,386
860571|2024-09-09 09:03:45|+99.9873712 BTC (5,471,532.84 USD)|74,804.66929892 BTC|$4,093,479,003 @ $54,722.24|$1,109,485,272
860494|2024-09-08 18:56:55|+0.0001 BTC (5.39 USD)|74,704.68192772 BTC|$4,023,335,588 @ $53,856.54|$1,044,813,390
860489|2024-09-08 18:18:45|+88.73884264 BTC (4,779,166.91 USD)|74,704.68182772 BTC|$4,023,335,583 @ $53,856.54|$1,044,813,390
860295|2024-09-07 15:32:33|+100.59061044 BTC (5,488,356.66 USD)|74,615.94298508 BTC|$4,071,144,470 @ $54,561.32|$1,097,401,444
860248|2024-09-07 08:41:46|+100.59481735 BTC (5,449,897.52 USD)|74,515.35237464 BTC|$4,036,997,582 @ $54,176.72|$1,068,742,913
860202|2024-09-07 00:57:35|+99.48715875 BTC (5,343,730.96 USD)|74,414.75755729 BTC|$3,997,022,820 @ $53,712.77|$1,034,218,049
860191|2024-09-06 22:43:46|+104.94442687 BTC (5,624,115 USD)|74,315.27039854 BTC|$3,982,656,722 @ $53,591.36|$1,025,195,682
860168|2024-09-06 19:16:41|+101.55424329 BTC (5,496,764.63 USD)|74,210.32597167 BTC|$4,016,737,081 @ $54,126.39|$1,064,900,155
860156|2024-09-06 17:38:20|+100.07059017 BTC (5,468,135.82 USD)|74,108.77172838 BTC|$4,049,509,737 @ $54,642.79|$1,103,169,577
860094|2024-09-06 08:42:22|+94.11572899 BTC (5,309,898.52 USD)|74,008.70113821 BTC|$4,175,483,700 @ $56,418.82|$1,234,611,675
860053|2024-09-06 00:40:33|+100.61224699 BTC (5,640,055.57 USD)|73,914.58540922 BTC|$4,143,455,509 @ $56,057.35|$1,207,893,382
860023|2024-09-05 18:53:42|+100.27175406 BTC (5,623,432.25 USD)|73,813.97316223 BTC|$4,139,629,162 @ $56,081.92|$1,209,707,091
860003|2024-09-05 15:53:52|+99.63189621 BTC (5,649,591.56 USD)|73,713.70140817 BTC|$4,179,909,462 @ $56,704.65|$1,255,610,823
859982|2024-09-05 12:57:22|+100.92856939 BTC (5,732,056.12 USD)|73,614.06951196 BTC|$4,180,778,352 @ $56,793.2|$1,262,129,305
859962|2024-09-05 10:01:31|+94.0490514 BTC (5,375,552.42 USD)|73,513.14094257 BTC|$4,201,783,401 @ $57,156.9|$1,288,866,410
859938|2024-09-05 06:58:43|+96.40243576 BTC (5,509,892.85 USD)|73,419.09189117 BTC|$4,196,277,057 @ $57,155.12|$1,288,735,618
859848|2024-09-04 17:48:53|+100.870852 BTC (5,788,218.41 USD)|73,322.68945541 BTC|$4,207,436,859 @ $57,382.47|$1,305,405,313
859818|2024-09-04 11:11:31|+100.00486859 BTC (5,676,823.78 USD)|73,221.81860341 BTC|$4,156,471,250 @ $56,765.47|$1,260,227,923
859770|2024-09-04 04:39:12|+98.13465574 BTC (5,565,712.6 USD)|73,121.81373482 BTC|$4,147,107,841 @ $56,715.06|$1,256,541,338
