block|time|amount|balance|balanceUSD|profit
852734|2024-07-18 14:36:50|-0.00101176 BTC (65.58 USD)|14,502.20677914 BTC|$940,004,422 @ $64,818.03|$513,255,247
852286|2024-07-15 12:52:28|-0.010084 BTC (632.65 USD)|14,502.2077909 BTC|$909,846,639 @ $62,738.49|$483,097,398
849663|2024-06-27 12:14:58|-1,260.000672 BTC (77,095,174.32 USD)|14,502.2178749 BTC|$887,341,602 @ $61,186.61|$460,591,729
849662|2024-06-27 12:02:21|-3,040.01168 BTC (185,135,581.71 USD)|15,762.2185469 BTC|$959,913,253 @ $60,899.63|$456,068,205
849543|2024-06-26 12:43:32|+0.001 BTC (61.34 USD)|18,802.2302269 BTC|$1,153,360,623 @ $61,341.69|$464,379,993
849286|2024-06-24 12:43:34|-0.001042 BTC (64 USD)|18,802.2292269 BTC|$1,154,920,630 @ $61,424.66|$465,940,062
844541|2024-05-22 10:00:12|+0.00000546 BTC (0.38 USD)|18,802.2302689 BTC|$1,312,031,097 @ $69,780.61|$623,050,465
843079|2024-05-12 03:07:46|+0.00000546 BTC (0.33 USD)|18,802.23026344 BTC|$1,147,125,413 @ $61,010.07|$458,144,781
841333|2024-04-29 09:28:43|+0.00000546 BTC (0.34 USD)|18,802.23025798 BTC|$1,168,779,940 @ $62,161.77|$479,799,309
841047|2024-04-27 07:56:21|+0.00000546 BTC (0.34 USD)|18,802.23025252 BTC|$1,185,016,702 @ $63,025.33|$496,036,071
840895|2024-04-26 04:13:29|+0.00000546 BTC (0.35 USD)|18,802.23024706 BTC|$1,211,702,174 @ $64,444.6|$522,721,544
840657|2024-04-24 15:42:21|+0.00000546 BTC (0.36 USD)|18,802.2302416 BTC|$1,244,498,906 @ $66,188.9|$555,518,275
837675|2024-04-04 14:43:52|-0.0100336 BTC (666.94 USD)|18,802.23023614 BTC|$1,249,801,951 @ $66,470.94|$560,821,321
837673|2024-04-04 14:22:37|+0.002 BTC (132.94 USD)|18,802.24026974 BTC|$1,249,802,618 @ $66,470.94|$560,821,321
836379|2024-03-26 16:33:27|+0.001 BTC (70.1 USD)|18,802.23826974 BTC|$1,317,952,799 @ $70,095.53|$628,971,635
836194|2024-03-25 05:30:05|+0.00000546 BTC (0.37 USD)|18,802.23726974 BTC|$1,262,789,609 @ $67,161.67|$573,808,515
835840|2024-03-22 23:58:00|+0.00000546 BTC (0.34 USD)|18,802.23726428 BTC|$1,182,617,676 @ $62,897.71|$493,636,583
835535|2024-03-20 13:46:50|-150.000084 BTC (9,544,910.08 USD)|18,802.23725882 BTC|$1,196,437,090 @ $63,632.7|$507,455,997
835534|2024-03-20 13:45:55|-450.000252 BTC (28,634,730.25 USD)|18,952.23734282 BTC|$1,205,982,000 @ $63,632.7|$507,455,997
835533|2024-03-20 13:42:40|-0.010084 BTC (641.67 USD)|19,402.23759482 BTC|$1,234,616,730 @ $63,632.7|$507,455,997
834708|2024-03-14 22:11:03|+0.00000546 BTC (0.39 USD)|19,402.24767882 BTC|$1,373,639,844 @ $70,797.97|$646,478,468
833559|2024-03-07 12:25:44|-150.000168 BTC (10,030,723.68 USD)|19,402.24767336 BTC|$1,297,455,782 @ $66,871.42|$570,294,407
833558|2024-03-07 12:06:25|-300.0107385 BTC (20,029,871.02 USD)|19,552.24784136 BTC|$1,305,383,282 @ $66,763.85|$568,191,183
