block|time|amount|balance|balanceUSD|profit
843079|2024-05-12 03:07:46|+0.00000546 BTC (0.33 USD)|19,208.82546908 BTC|$1,171,931,815 @ $61,010.07|$644,244,328
841047|2024-04-27 07:56:21|+0.00000546 BTC (0.34 USD)|19,208.82546362 BTC|$1,210,642,498 @ $63,025.33|$682,955,012
834382|2024-03-12 18:17:34|-470.00086042 BTC (32,919,675.2 USD)|19,208.82545816 BTC|$1,345,419,441 @ $70,041.73|$817,731,955
833274|2024-03-05 17:01:05|+0.00001678 BTC (1.14 USD)|19,678.82631858 BTC|$1,339,937,204 @ $68,090.3|$779,330,042
833268|2024-03-05 16:34:52|+0.1 BTC (6,809.03 USD)|19,678.8263018 BTC|$1,339,937,203 @ $68,090.3|$779,330,042
833265|2024-03-05 16:03:29|-0.1050373 BTC (7,100.72 USD)|19,678.7263018 BTC|$1,330,318,934 @ $67,601.88|$769,718,583
827628|2024-01-27 14:44:00|+0.00000546 BTC (0.23 USD)|19,678.8313391 BTC|$821,893,833 @ $41,765.38|$261,286,381
826333|2024-01-19 01:52:26|+0.00000546 BTC (0.23 USD)|19,678.83133364 BTC|$812,068,754 @ $41,266.11|$251,461,302
825486|2024-01-12 18:57:42|+0.00000546 BTC (0.24 USD)|19,678.83132818 BTC|$857,320,873 @ $43,565.64|$296,713,421
825371|2024-01-12 00:58:43|+0.00000546 BTC (0.25 USD)|19,678.83132272 BTC|$912,344,223 @ $46,361.71|$351,736,772
817663|2023-11-20 16:42:58|+0.00000885 BTC (0.33 USD)|19,678.83131726 BTC|$733,930,464 @ $37,295.43|$173,323,012
810264|2023-10-02 09:15:34|+0.000006 BTC (0.17 USD)|19,678.83130841 BTC|$553,829,634 @ $28,143.42|$-6,777,816
802529|2023-08-10 19:06:13|+0.00037679 BTC (11.1 USD)|19,678.83130241 BTC|$579,781,857 @ $29,462.21|$19,174,407
796993|2023-07-03 13:04:30|+1,500 BTC (45,940,040.95 USD)|19,678.83092562 BTC|$602,697,532 @ $30,626.69|$42,090,093
796561|2023-06-30 16:01:39|+1,000 BTC (30,877,503.56 USD)|18,178.83092562 BTC|$561,316,917 @ $30,877.5|$46,649,518
796391|2023-06-29 14:44:12|+1,000 BTC (30,658,278.98 USD)|17,178.83092562 BTC|$526,673,391 @ $30,658.28|$42,883,496
796390|2023-06-29 14:29:58|+800 BTC (24,526,623.19 USD)|16,178.83092562 BTC|$496,015,112 @ $30,658.28|$42,883,496
796389|2023-06-29 14:26:30|+500 BTC (15,329,139.49 USD)|15,378.83092562 BTC|$471,488,489 @ $30,658.28|$42,883,496
796283|2023-06-28 16:27:36|+368.54 BTC (11,155,502.96 USD)|14,878.83092562 BTC|$450,374,023 @ $30,269.45|$37,098,170
779756|2023-03-07 17:41:05|-0.0102628 BTC (228.94 USD)|14,510.29092562 BTC|$323,697,366 @ $22,308.12|$-78,422,984
779724|2023-03-07 13:38:25|+0.01 BTC (223.78 USD)|14,510.30118842 BTC|$324,713,033 @ $22,378.1|$-77,407,546
778815|2023-03-01 16:20:03|-0.0102628 BTC (243.22 USD)|14,510.29118842 BTC|$343,886,186 @ $23,699.47|$-58,234,169
778649|2023-02-28 12:58:26|+0.01 BTC (233.72 USD)|14,510.30145122 BTC|$339,138,511 @ $23,372.26|$-62,982,088
728655|2022-03-23 15:25:01|-0.00034394 BTC (14.51 USD)|14,510.29145122 BTC|$611,994,873 @ $42,176.61|$209,874,508
726442|2022-03-08 19:56:58|+0.000333 BTC (13 USD)|14,510.29179516 BTC|$566,368,512 @ $39,032.19|$164,248,132
721189|2022-01-31 15:42:59|+0.0006506 BTC (24.28 USD)|14,510.29146216 BTC|$541,611,760 @ $37,326.04|$139,491,394
713242|2021-12-08 18:55:14|+311 BTC (15,677,490.28 USD)|14,510.29081156 BTC|$731,462,840 @ $50,409.94|$329,342,497
689528|2021-07-03 20:27:31|+0.00000547 BTC (0.19 USD)|14,199.29081156 BTC|$492,627,821 @ $34,693.83|$106,184,969
686809|2021-06-08 17:21:28|+765 BTC (24,112,951.52 USD)|14,199.29080609 BTC|$447,564,459 @ $31,520.2|$61,121,607
684973|2021-05-26 06:32:34|+0.00000547 BTC (0.22 USD)|13,434.29080609 BTC|$528,052,916 @ $39,306.35|$165,723,015
684333|2021-05-20 20:24:47|-599.87588848 BTC (23,831,231.27 USD)|13,434.29080062 BTC|$533,703,216 @ $39,726.94|$171,373,316
