block|time|amount|balance|balanceUSD|profit
858178|2024-08-24 05:19:33|+0.00000546 BTC (0.35 USD)|75,354.08396045 BTC|$4,816,591,622 @ $63,919.45|$2,516,020,555
858177|2024-08-24 05:12:58|+0.00000546 BTC (0.35 USD)|75,354.08395499 BTC|$4,816,591,621 @ $63,919.45|$2,516,020,555
857719|2024-08-21 08:45:17|+0.00000546 BTC (0.32 USD)|75,354.08394953 BTC|$4,480,582,127 @ $59,460.38|$2,180,011,061
857362|2024-08-18 19:31:12|+0.00000546 BTC (0.33 USD)|75,354.08394407 BTC|$4,500,314,386 @ $59,722.24|$2,199,743,320
857360|2024-08-18 19:25:06|+0.00000546 BTC (0.33 USD)|75,354.08393861 BTC|$4,500,314,385 @ $59,722.24|$2,199,743,320
857358|2024-08-18 19:11:45|+0.00000546 BTC (0.33 USD)|75,354.08393315 BTC|$4,500,314,385 @ $59,722.24|$2,199,743,320
857356|2024-08-18 18:39:17|+0.00000876 BTC (0.52 USD)|75,354.08392769 BTC|$4,512,639,366 @ $59,885.8|$2,212,068,301
857353|2024-08-18 17:43:18|+0.00001422 BTC (0.85 USD)|75,354.08391893 BTC|$4,507,875,795 @ $59,822.58|$2,207,304,731
857310|2024-08-18 12:07:53|+0.0000033 BTC (0.2 USD)|75,354.08390471 BTC|$4,516,651,844 @ $59,939.05|$2,216,080,780
857309|2024-08-18 11:35:54|+0.00000546 BTC (0.33 USD)|75,354.08390141 BTC|$4,498,552,910 @ $59,698.86|$2,197,981,846
857308|2024-08-18 11:33:53|+0.0000033 BTC (0.2 USD)|75,354.08389595 BTC|$4,498,552,910 @ $59,698.86|$2,197,981,846
857307|2024-08-18 11:29:31|+0.0000033 BTC (0.2 USD)|75,354.08389265 BTC|$4,498,552,909 @ $59,698.86|$2,197,981,846
857306|2024-08-18 11:08:14|+0.00000546 BTC (0.33 USD)|75,354.08388935 BTC|$4,488,236,254 @ $59,561.95|$2,187,665,192
855886|2024-08-08 12:41:09|+0.00000546 BTC (0.31 USD)|75,354.08388389 BTC|$4,320,022,713 @ $57,329.64|$2,019,451,650
855269|2024-08-04 01:43:26|+0.00000546 BTC (0.33 USD)|75,354.08387843 BTC|$4,568,602,948 @ $60,628.47|$2,268,031,886
854908|2024-08-01 08:41:35|+0.00000546 BTC (0.35 USD)|75,354.08387297 BTC|$4,840,443,408 @ $64,235.98|$2,539,872,346
853928|2024-07-26 01:40:34|-0.00013894 BTC (9.13 USD)|75,354.08386751 BTC|$4,952,028,421 @ $65,716.79|$2,651,457,360
853605|2024-07-23 22:16:26|+0.00000547 BTC (0.36 USD)|75,354.08400645 BTC|$4,950,162,631 @ $65,692.03|$2,649,591,561
851225|2024-07-08 11:36:56|+0.00000546 BTC (0.31 USD)|75,354.08400098 BTC|$4,337,304,835 @ $57,558.99|$2,036,733,764
848172|2024-06-16 14:49:41|+0.00000546 BTC (0.36 USD)|75,354.08399552 BTC|$5,016,100,241 @ $66,567.07|$2,715,529,172
847852|2024-06-14 07:16:44|+0.00000546 BTC (0.36 USD)|75,354.08399006 BTC|$5,035,359,047 @ $66,822.64|$2,734,787,977
843079|2024-05-12 03:07:46|+0.00000546 BTC (0.33 USD)|75,354.0839846 BTC|$4,597,358,051 @ $61,010.07|$2,296,786,982
841047|2024-04-27 07:56:21|+0.00000546 BTC (0.34 USD)|75,354.08397914 BTC|$4,749,215,753 @ $63,025.33|$2,448,644,685
840894|2024-04-26 04:12:06|+0.00000546 BTC (0.35 USD)|75,354.08397368 BTC|$4,856,163,667 @ $64,444.6|$2,555,592,599
840658|2024-04-24 15:45:37|+0.00000546 BTC (0.36 USD)|75,354.08396822 BTC|$4,987,603,802 @ $66,188.9|$2,687,032,734
840640|2024-04-24 12:42:47|-0.00494591 BTC (328.24 USD)|75,354.08396276 BTC|$5,000,881,543 @ $66,365.1|$2,700,310,475
837575|2024-04-03 21:20:27|+0.00001 BTC (0.66 USD)|75,354.08890867 BTC|$4,962,512,731 @ $65,855.92|$2,661,941,335
837192|2024-04-01 07:48:58|+0.00000546 BTC (0.38 USD)|75,354.08889867 BTC|$5,308,235,878 @ $70,443.9|$3,007,664,483
837118|2024-03-31 20:21:57|+8,888.88888888 BTC (627,186,769.89 USD)|75,354.08889321 BTC|$5,316,872,356 @ $70,558.51|$3,016,300,961
836661|2024-03-28 15:15:39|+0.00000546 BTC (0.39 USD)|66,465.20000433 BTC|$4,713,817,964 @ $70,921.59|$3,040,433,339
